"Seoul","5-9 Years old",411886,212435,199451,106.50
"Seoul","10-14 Years old",545750,283502,262248,108.10
"Seoul","15-19 Years old",635237,332292,302945,109.70
"Seoul","20-24 Years old",684026,339766,344260,98.70
"Seoul","25-29 Years old",898900,439024,459876,95.50
"Seoul","30-34 Years old",857764,430797,426967,100.90
"Seoul","35-39 Years old",850730,429626,421104,102.00
"Seoul","40-44 Years old",797360,393950,403410,97.70
"Seoul","45-49 Years old",784467,380404,404063,94.10
"Seoul","50-54 Years old",777432,368872,408560,90.30
"Seoul","55-59 Years old",592471,283140,309331,91.50
"Seoul","60-64 Years old",468836,225186,243650,92.40
"Seoul","65-69 Years old",362266,175236,187030,93.70
"Seoul","70-74 Years old",263697,121030,142667,84.80
"Seoul","75-79 Years old",159797,63867,95930,66.60
"Seoul","80-84 Years old",87286,27885,59401,46.90
"Seoul","85 Years old & over",55910,14800,41110,36.00
"Seoul","14 and under",1355303,700153,655150,106.90
"Seoul","15 - 64 Years old",7347223,3623057,3724166,97.30
"Seoul","65 Years old",928956,402818,526138,76.60
"Seoul","Mean age",37.9,37.0,38.8,-
"Seoul","Median age",37.3,36.5,38.2,-
"Busan","Total",3393191,1664678,1728513,96.30
"Busan","0-4 Years old",124410,63964,60446,105.80
"Busan","5-9 Years old",139125,72380,66745,108.40
"Busan","10-14 Years old",199016,105266,93750,112.30
"Busan","15-19 Years old",242414,130771,111643,117.10
"Busan","20-24 Years old",227742,121532,106210,114.40
"Busan","25-29 Years old",247229,124810,122419,102.00
"Busan","30-34 Years old",239936,120088,119848,100.20
"Busan","35-39 Years old",256860,127090,129770,97.90
"Busan","40-44 Years old",271955,131701,140254,93.90
"Busan","45-49 Years old",293334,139961,153373,91.30
"Busan","50-54 Years old",312412,148927,163485,91.10
"Busan","55-59 Years old",248722,120219,128503,93.60
"Busan","60-64 Years old",192906,93348,99558,93.80
"Busan","65-69 Years old",149213,70620,78593,89.90
"Busan","70-74 Years old",115192,50461,64731,78.00
"Busan","75-79 Years old",72906,27472,45434,60.50
"Busan","80-84 Years old",38632,11168,27464,40.70
"Busan","85 Years old & over",21187,4900,16287,30.10
"Busan","14 and under",462551,241610,220941,109.40
"Busan","15 - 64 Years old",2533510,1258447,1275063,98.70
"Busan","65 Years old",397130,164621,232509,70.80
"Busan","Mean age",39.7,38.3,41.0,-
"Busan","Median age",40.3,38.7,41.8,-
"Daegu","Total",2431774,1204428,1227346,98.10
"Daegu","0-4 Years old",101667,52769,48898,107.90
"Daegu","5-9 Years old",118717,62518,56199,111.20
"Daegu","10-14 Years old",167820,89432,78388,114.10
"Daegu","15-19 Years old",185952,101944,84008,121.40
"Daegu","20-24 Years old",162748,90988,71760,126.80
"Daegu","25-29 Years old",169158,84504,84654,99.80
"Daegu","30-34 Years old",174275,85967,88308,97.30
"Daegu","35-39 Years old",201620,97863,103757,94.30
"Daegu","40-44 Years old",217539,105723,111816,94.60
"Daegu","45-49 Years old",219070,107258,111812,95.90
"Daegu","50-54 Years old",200207,98394,101813,96.60
"Daegu","55-59 Years old",148331,71571,76760,93.20
"Daegu","60-64 Years old",113154,54023,59131,91.40
"Daegu","65-69 Years old",89508,40516,48992,82.70
"Daegu","70-74 Years old",74175,31426,42749,73.50
"Daegu","75-79 Years old",48893,18491,30402,60.80
"Daegu","80-84 Years old",24970,7598,17372,43.70
"Daegu","85 Years old & over",13970,3443,10527,32.70
"Daegu","14 and under",388204,204719,183485,111.60
"Daegu","15 - 64 Years old",1792054,898235,893819,100.50
"Daegu","65 Years old",251516,101474,150042,67.60
"Daegu","Mean age",37.9,36.5,39.4,-
"Daegu","Median age",38.5,36.9,39.9,-
"Incheon","Total",2632035,1315562,1316473,99.90
