"date","city","city_type","pm25","pm10","o3","no2","so2","co","year"
"2025/10/2","Seoul","Inland",81,31,49,25,4,6,2025
"2025/10/3","Seoul","Inland",71,28,32,12,3,4,2025
"2025/10/4","Seoul","Inland",63,11,35,9,3,3,2025
"2025/10/5","Seoul","Inland",21,10,20,11,3,4,2025
"2025/10/6","Seoul","Inland",17,6,30,5,2,2,2025
"2025/10/7","Seoul","Inland",10,4,31,7,2,2,2025
"2025/10/8","Seoul","Inland",9,10,28,9,2,3,2025
"2025/10/9","Seoul","Inland",17,12,28,7,2,2,2025
"2025/10/10","Seoul","Inland",19,7,21,12,2,3,2025
"2025/10/11","Seoul","Inland",13,13,33,12,3,3,2025
"2025/10/12","Seoul","Inland",26,6,23,7,3,3,2025
"2025/10/13","Seoul","Inland",7,5,32,9,2,2,2025
"2025/10/14","Seoul","Inland",7,4,30,10,2,2,2025
"2025/10/15","Seoul","Inland",10,8,30,14,2,2,2025
"2025/10/16","Seoul","Inland",13,9,26,12,2,3,2025
"2025/10/17","Seoul","Inland",14,13,29,13,2,2,2025
"2025/10/18","Seoul","Inland",18,13,26,9,3,4,2025
"2025/10/19","Seoul","Inland",30,18,30,9,3,4,2025
"2025/10/20","Seoul","Inland",37,24,26,10,3,3,2025
"2025/10/21","Seoul","Inland",46,29,20,16,3,4,2025
"2025/10/22","Seoul","Inland",51,20,26,18,3,4,2025
"2025/10/23","Seoul","Inland",41,11,31,16,3,3,2025
"2025/10/24","Seoul","Inland",18,10,31,17,3,3,2025
"2025/10/25","Seoul","Inland",17,23,35,18,3,4,2025
"2025/10/26","Seoul","Inland",44,42,38,16,4,6,2025
"2025/10/27","Seoul","Inland",87,34,29,9,4,3,2025
"2025/10/28","Seoul","Inland",48,25,27,21,4,4,2025
"2025/10/29","Seoul","Inland",37,31,26,35,4,6,2025
"2025/10/30","Seoul","Inland",65,39,22,39,4,6,2025
"2025/10/31","Seoul","Inland",84,42,39,30,4,6,2025
"2025/11/1","Seoul","Inland",89,25,35,14,3,4,2025
"2025/11/2","Seoul","Inland",62,30,30,9,3,3,2025
"2025/11/3","Seoul","Inland",37,23,18,24,3,5,2025
"2025/11/4","Seoul","Inland",49,29,27,36,4,7,2025
"2025/11/5","Seoul","Inland",60,37,25,38,4,7,2025
"2025/11/6","Seoul","Inland",74,55,26,38,4,8,2025
"2025/11/7","Seoul","Inland",111,53,30,35,4,6,2025
"2025/11/8","Seoul","Inland",106,28,27,19,3,5,2025
"2025/11/9","Seoul","Inland",66,43,41,16,4,5,2025
"2025/11/10","Seoul","Inland",77,24,26,11,4,3,2025
"2025/11/11","Seoul","Inland",29,29,21,26,4,5,2025
"2025/11/12","Seoul","Inland",43,42,30,35,4,6,2025
"2025/11/13","Seoul","Inland",75,48,34,34,5,7,2025
"2025/11/14","Seoul","Inland",89,36,27,26,4,5,2025
"2025/11/15","Seoul","Inland",63,39,23,40,4,7,2025
"2025/11/16","Seoul","Inland",77,39,43,27,4,7,2025
"2025/11/17","Seoul","Inland",81,48,24,8,4,3,2025
"2025/11/18","Seoul","Inland",51,31,21,12,4,4,2025
"2025/11/19","Seoul","Inland",50,36,19,23,4,5,2025
"2025/11/20","Seoul","Inland",63,46,30,31,4,6,2025
"2025/11/21","Seoul","Inland",81,27,26,24,4,4,2025
"2025/11/22","Seoul","Inland",40,46,32,35,4,7,2025
"2025/11/23","Seoul","Inland",89,50,49,29,4,7,2025
"2025/11/24","Seoul","Inland",106,70,50,27,5,7,2025
"2025/11/25","Seoul","Inland",149,71,25,24,3,8,2025
"2025/11/26","Seoul","Inland",153,45,27,26,3,6,2025
"2025/11/27","Seoul","Inland",108,39,25,27,4,5,2025
"2025/11/28","Seoul","Inland",66,26,21,20,3,4,2025
"2025/11/29","Seoul","Inland",58,31,10,37,4,6,2025
"2025/11/30","Seoul","Inland",69,70,47,27,4,7,2025
"2025/12/1","Seoul","Inland",105,49,32,15,4,5,2025
"2025/12/2","Seoul","Inland",80,20,28,10,4,3,2025
"2025/12/3","Seoul","Inland",29,22,24,8,3,3,2025
"2025/12/4","Seoul","Inland",28,25,23,22,3,5,2025
"2025/12/5","Seoul","Inland",46,29,20,23,3,5,2025
"2025/12/6","Seoul","Inland",61,30,7,40,4,7,2025
"2025/12/7","Seoul","Inland",72,68,41,36,4,12,2025
"2025/12/8","Seoul","Inland",138,38,25,17,4,5,2025
"2025/12/9","Seoul","Inland",67,23,16,32,4,6,2025
"2025/12/10","Seoul","Inland",50,42,5,44,4,8,2025
"2025/12/11","Seoul","Inland",89,42,28,29,4,7,2025
"2025/12/12","Seoul","Inland",97,23,17,23,4,5,2025
"2025/12/13","Seoul","Inland",55,12,26,23,3,5,2025
"2025/12/14","Seoul","Inland",31,28,28,14,3,6,2025
"2025/12/15","Seoul","Inland",75,34,8,36,3,7,2025
"2025/12/16","Seoul","Inland",85,40,1,37,3,8,2025
"2025/12/17","Seoul","Inland",91,56,24,19,3,5,2025
"2025/12/18","Seoul","Inland",102,29,17,27,3,5,2025
"2025/12/19","Seoul","Inland",62,36,5,40,4,8,2025
"2025/12/20","Seoul","Inland",72,42,20,29,4,7,2025
"2025/12/21","Seoul","Inland",91,23,20,8,3,2,2025
"2025/12/22","Seoul","Inland",32,30,13,27,3,5,2025
"2025/12/23","Seoul","Inland",50,24,3,39,4,7,2025
"2025/12/24","Seoul","Inland",56,27,20,24,3,6,2025
"2025/12/25","Seoul","Inland",71,30,27,11,4,5,2025
"2025/12/26","Seoul","Inland",55,21,21,12,4,4,2025
"2025/12/27","Seoul","Inland",36,31,10,30,4,6,2025
"2025/12/28","Seoul","Inland",64,47,12,29,4,7,2025
"2025/12/29","Seoul","Inland",103,NA,NA,NA,NA,NA,2025
"2025/7/2","Seoul","Inland",19,13,20,8,4,2,2025
"2025/7/3","Seoul","Inland",23,26,31,10,4,3,2025
"2025/7/4","Seoul","Inland",58,27,31,9,3,3,2025
"2025/7/5","Seoul","Inland",50,24,39,8,4,3,2025
"2025/7/6","Seoul","Inland",41,29,52,7,3,3,2025
"2025/7/7","Seoul","Inland",55,46,74,13,3,5,2025
"2025/7/8","Seoul","Inland",94,41,56,11,3,4,2025
"2025/7/9","Seoul","Inland",87,23,41,6,2,3,2025
"2025/7/10","Seoul","Inland",39,17,50,7,3,2,2025
"2025/7/11","Seoul","Inland",30,13,46,8,3,2,2025
"2025/7/12","Seoul","Inland",16,12,49,10,3,3,2025
"2025/7/13","Seoul","Inland",21,28,58,17,4,5,2025
"2025/7/14","Seoul","Inland",47,23,38,14,4,4,2025
"2025/7/15","Seoul","Inland",39,10,32,12,3,3,2025
"2025/7/16","Seoul","Inland",14,18,39,13,3,4,2025
"2025/7/17","Seoul","Inland",36,9,51,12,3,4,2025
"2025/7/18","Seoul","Inland",18,10,43,17,3,4,2025
"2025/7/19","Seoul","Inland",27,11,45,14,3,3,2025
"2025/7/20","Seoul","Inland",21,17,20,6,3,2,2025
"2025/7/21","Seoul","Inland",21,20,18,11,4,3,2025
"2025/7/22","Seoul","Inland",27,19,28,10,4,2,2025
"2025/7/23","Seoul","Inland",26,15,43,13,3,2,2025
"2025/7/24","Seoul","Inland",28,20,68,17,3,3,2025
"2025/7/25","Seoul","Inland",44,28,103,13,3,3,2025
"2025/7/26","Seoul","Inland",75,22,49,14,3,3,2025
"2025/7/27","Seoul","Inland",56,19,56,10,3,3,2025
"2025/7/28","Seoul","Inland",47,38,83,14,4,4,2025
"2025/7/29","Seoul","Inland",79,43,126,16,4,5,2025
"2025/7/30","Seoul","Inland",72,29,60,17,4,4,2025
"2025/7/31","Seoul","Inland",65,26,61,14,4,3,2025
"2025/8/1","Seoul","Inland",61,33,90,16,4,4,2025
"2025/8/2","Seoul","Inland",72,39,72,12,4,4,2025
"2025/8/3","Seoul","Inland",91,31,45,13,4,4,2025
"2025/8/4","Seoul","Inland",70,19,49,10,3,3,2025
"2025/8/5","Seoul","Inland",43,20,49,13,4,3,2025
"2025/8/6","Seoul","Inland",48,18,33,13,3,3,2025
"2025/8/7","Seoul","Inland",34,20,51,10,3,4,2025
"2025/8/8","Seoul","Inland",25,30,71,16,4,5,2025
"2025/8/9","Seoul","Inland",44,27,36,17,4,5,2025
"2025/8/10","Seoul","Inland",55,22,58,11,4,4,2025
"2025/8/11","Seoul","Inland",35,30,43,16,4,5,2025
"2025/8/12","Seoul","Inland",52,20,54,13,4,4,2025
"2025/8/13","Seoul","Inland",50,11,26,11,3,3,2025
"2025/8/14","Seoul","Inland",11,12,26,12,4,3,2025
"2025/8/15","Seoul","Inland",19,19,36,13,4,4,2025
"2025/8/16","Seoul","Inland",26,14,25,10,4,2,2025
"2025/8/17","Seoul","Inland",25,15,26,7,4,2,2025
"2025/8/18","Seoul","Inland",29,28,29,10,4,2,2025
"2025/8/19","Seoul","Inland",64,15,15,12,3,2,2025
"2025/8/20","Seoul","Inland",23,19,24,14,3,2,2025
"2025/8/21","Seoul","Inland",28,19,36,13,4,2,2025
"2025/8/22","Seoul","Inland",30,14,37,13,7,3,2025
"2025/8/23","Seoul","Inland",28,20,38,12,8,3,2025
"2025/8/24","Seoul","Inland",35,24,48,10,6,4,2025
"2025/8/25","Seoul","Inland",42,25,38,12,8,3,2025
"2025/8/26","Seoul","Inland",36,17,41,14,3,4,2025
"2025/8/27","Seoul","Inland",28,22,70,15,3,4,2025
"2025/8/28","Seoul","Inland",37,19,49,13,3,4,2025
"2025/8/29","Seoul","Inland",34,16,32,9,3,3,2025
"2025/8/30","Seoul","Inland",17,14,29,11,3,3,2025
"2025/8/31","Seoul","Inland",29,23,29,10,4,3,2025
"2025/9/1","Seoul","Inland",49,10,31,10,3,3,2025
"2025/9/2","Seoul","Inland",22,18,43,18,3,4,2025
"2025/9/3","Seoul","Inland",34,24,49,22,4,4,2025
"2025/9/4","Seoul","Inland",47,12,33,11,3,3,2025
"2025/9/5","Seoul","Inland",27,16,49,13,3,3,2025
"2025/9/6","Seoul","Inland",40,19,35,11,4,4,2025
"2025/9/7","Seoul","Inland",33,16,43,8,4,4,2025
"2025/9/8","Seoul","Inland",22,30,63,17,4,5,2025
"2025/9/9","Seoul","Inland",47,36,44,15,4,5,2025
"2025/9/10","Seoul","Inland",66,28,33,16,3,4,2025
"2025/9/11","Seoul","Inland",52,23,43,16,4,4,2025
"2025/9/12","Seoul","Inland",35,19,33,11,3,3,2025
"2025/9/13","Seoul","Inland",24,5,39,7,3,3,2025
"2025/9/14","Seoul","Inland",10,12,54,10,3,3,2025
"2025/9/15","Seoul","Inland",19,20,56,18,3,4,2025
"2025/9/16","Seoul","Inland",44,22,24,23,4,5,2025
"2025/9/17","Seoul","Inland",38,13,24,16,3,4,2025
"2025/9/18","Seoul","Inland",24,12,24,10,3,3,2025
"2025/9/19","Seoul","Inland",13,14,22,12,3,2,2025
"2025/9/20","Seoul","Inland",17,8,27,10,3,3,2025
"2025/9/21","Seoul","Inland",13,7,33,7,3,2,2025
"2025/9/22","Seoul","Inland",10,12,34,12,3,2,2025
"2025/9/23","Seoul","Inland",18,15,34,13,3,3,2025
"2025/9/24","Seoul","Inland",23,14,27,16,3,3,2025
"2025/9/25","Seoul","Inland",24,17,39,17,3,4,2025
"2025/9/26","Seoul","Inland",34,33,52,20,3,6,2025
"2025/9/27","Seoul","Inland",71,28,42,18,3,5,2025
"2025/9/28","Seoul","Inland",58,16,41,10,3,4,2025
"2025/9/29","Seoul","Inland",37,30,37,15,3,5,2025
"2025/9/30","Seoul","Inland",57,33,34,27,4,6,2025
"2025/10/1","Seoul","Inland",73,36,53,23,4,6,2025
"2025/4/2","Seoul","Inland",119,56,48,35,4,6,2025
"2025/4/3","Seoul","Inland",107,45,43,23,3,5,2025
"2025/4/4","Seoul","Inland",98,49,55,28,4,5,2025
"2025/4/5","Seoul","Inland",109,30,37,23,3,5,2025
"2025/4/6","Seoul","Inland",70,34,48,15,3,5,2025
"2025/4/7","Seoul","Inland",72,53,69,23,4,6,2025
"2025/4/8","Seoul","Inland",92,63,65,18,4,5,2025
"2025/4/9","Seoul","Inland",99,52,44,34,4,6,2025
"2025/4/10","Seoul","Inland",88,51,44,23,4,6,2025
"2025/4/11","Seoul","Inland",105,59,46,36,4,7,2025
"2025/4/12","Seoul","Inland",123,42,46,24,4,6,2025
"2025/4/13","Seoul","Inland",81,42,36,9,3,3,2025
"2025/4/14","Seoul","Inland",37,20,34,17,3,4,2025
"2025/4/15","Seoul","Inland",38,27,42,19,3,5,2025
"2025/4/16","Seoul","Inland",61,46,65,21,4,5,2025
"2025/4/17","Seoul","Inland",85,58,64,19,4,5,2025
"2025/4/18","Seoul","Inland",82,67,53,22,4,5,2025
"2025/4/19","Seoul","Inland",110,40,36,16,3,4,2025
"2025/4/20","Seoul","Inland",72,25,50,13,3,5,2025
"2025/4/21","Seoul","Inland",57,31,47,21,3,5,2025
"2025/4/22","Seoul","Inland",56,21,31,19,3,5,2025
"2025/4/23","Seoul","Inland",45,18,49,16,3,4,2025
"2025/4/24","Seoul","Inland",26,45,51,18,3,4,2025
"2025/4/25","Seoul","Inland",82,57,40,13,4,4,2025
"2025/4/26","Seoul","Inland",87,41,49,19,4,4,2025
"2025/4/27","Seoul","Inland",58,31,50,14,4,4,2025
"2025/4/28","Seoul","Inland",39,41,48,15,4,4,2025
"2025/4/29","Seoul","Inland",63,42,52,20,4,4,2025
"2025/4/30","Seoul","Inland",84,48,57,22,4,5,2025
"2025/5/1","Seoul","Inland",77,37,43,16,3,4,2025
"2025/5/2","Seoul","Inland",68,29,42,12,3,4,2025
"2025/5/3","Seoul","Inland",50,20,40,14,3,3,2025
"2025/5/4","Seoul","Inland",38,39,57,14,3,4,2025
"2025/5/5","Seoul","Inland",48,32,41,16,3,4,2025
"2025/5/6","Seoul","Inland",61,23,44,13,3,4,2025
"2025/5/7","Seoul","Inland",38,36,45,20,3,4,2025
"2025/5/8","Seoul","Inland",67,52,62,21,4,4,2025
"2025/5/9","Seoul","Inland",79,46,34,20,3,5,2025
"2025/5/10","Seoul","Inland",65,23,37,12,2,5,2025
"2025/5/11","Seoul","Inland",47,55,58,13,3,6,2025
"2025/5/12","Seoul","Inland",99,53,68,20,4,5,2025
"2025/5/13","Seoul","Inland",114,48,72,24,4,5,2025
"2025/5/14","Seoul","Inland",93,46,78,23,4,5,2025
"2025/5/15","Seoul","Inland",92,33,43,14,3,4,2025
"2025/5/16","Seoul","Inland",66,35,28,21,3,7,2025
"2025/5/17","Seoul","Inland",73,20,39,12,3,5,2025
"2025/5/18","Seoul","Inland",34,37,44,9,3,3,2025
"2025/5/19","Seoul","Inland",60,40,49,18,4,5,2025
"2025/5/20","Seoul","Inland",72,22,36,13,3,4,2025
"2025/5/21","Seoul","Inland",37,21,47,12,2,4,2025
"2025/5/22","Seoul","Inland",41,28,52,12,3,4,2025
"2025/5/23","Seoul","Inland",49,32,36,13,3,4,2025
"2025/5/24","Seoul","Inland",71,23,38,7,3,3,2025
"2025/5/25","Seoul","Inland",54,21,50,11,4,4,2025
"2025/5/26","Seoul","Inland",45,42,72,19,5,5,2025
"2025/5/27","Seoul","Inland",89,58,104,20,6,6,2025
"2025/5/28","Seoul","Inland",126,57,87,19,6,6,2025
"2025/5/29","Seoul","Inland",129,42,76,16,4,5,2025
"2025/5/30","Seoul","Inland",89,43,67,19,4,5,2025
"2025/5/31","Seoul","Inland",91,45,95,18,5,5,2025
"2025/6/1","Seoul","Inland",98,59,102,17,5,6,2025
"2025/6/2","Seoul","Inland",131,57,39,31,4,7,2025
"2025/6/3","Seoul","Inland",120,45,66,12,4,4,2025
"2025/6/4","Seoul","Inland",93,31,46,11,4,3,2025
"2025/6/5","Seoul","Inland",33,30,65,17,5,4,2025
"2025/6/6","Seoul","Inland",48,34,84,14,5,4,2025
"2025/6/7","Seoul","Inland",60,41,62,10,3,5,2025
"2025/6/8","Seoul","Inland",81,24,69,8,2,3,2025
"2025/6/9","Seoul","Inland",60,30,98,11,2,4,2025
"2025/6/10","Seoul","Inland",74,20,46,14,2,4,2025
"2025/6/11","Seoul","Inland",45,28,60,15,3,4,2025
"2025/6/12","Seoul","Inland",53,38,113,17,4,5,2025
"2025/6/13","Seoul","Inland",81,47,104,26,6,6,2025
"2025/6/14","Seoul","Inland",98,20,72,12,3,3,2025
"2025/6/15","Seoul","Inland",43,17,51,8,3,2,2025
"2025/6/16","Seoul","Inland",38,21,60,9,2,3,2025
"2025/6/17","Seoul","Inland",42,35,91,10,3,3,2025
"2025/6/18","Seoul","Inland",62,48,103,16,4,5,2025
"2025/6/19","Seoul","Inland",94,31,79,18,4,4,2025
"2025/6/20","Seoul","Inland",58,9,15,7,3,2,2025
"2025/6/21","Seoul","Inland",14,22,34,12,3,4,2025
"2025/6/22","Seoul","Inland",50,34,87,10,4,5,2025
"2025/6/23","Seoul","Inland",68,41,109,15,4,5,2025
"2025/6/24","Seoul","Inland",71,25,39,16,4,4,2025
"2025/6/25","Seoul","Inland",36,11,37,12,3,4,2025
"2025/6/26","Seoul","Inland",17,17,33,16,3,5,2025
"2025/6/27","Seoul","Inland",32,31,58,22,4,6,2025
"2025/6/28","Seoul","Inland",66,34,34,17,3,6,2025
"2025/6/29","Seoul","Inland",72,17,30,7,3,3,2025
"2025/6/30","Seoul","Inland",35,11,24,9,3,3,2025
"2025/7/1","Seoul","Inland",21,10,19,8,4,2,2025
"2025/1/2","Seoul","Inland",80,40,25,26,4,6,2025
"2025/1/3","Seoul","Inland",74,26,22,19,4,5,2025
"2025/1/4","Seoul","Inland",61,35,24,29,4,6,2025
"2025/1/5","Seoul","Inland",77,37,11,33,3,6,2025
"2025/1/6","Seoul","Inland",86,52,27,20,4,6,2025
"2025/1/7","Seoul","Inland",118,28,24,14,3,4,2025
"2025/1/8","Seoul","Inland",57,30,24,20,3,4,2025
"2025/1/9","Seoul","Inland",65,30,27,9,3,3,2025
"2025/1/10","Seoul","Inland",38,25,19,22,4,4,2025
"2025/1/11","Seoul","Inland",57,35,17,35,3,6,2025
"2025/1/12","Seoul","Inland",83,43,19,39,3,8,2025
"2025/1/13","Seoul","Inland",103,55,9,46,3,10,2025
"2025/1/14","Seoul","Inland",134,58,27,35,4,8,2025
"2025/1/15","Seoul","Inland",141,35,25,13,4,4,2025
"2025/1/16","Seoul","Inland",49,34,14,31,4,6,2025
"2025/1/17","Seoul","Inland",69,54,13,36,4,7,2025
"2025/1/18","Seoul","Inland",112,50,9,53,5,10,2025
"2025/1/19","Seoul","Inland",98,52,22,46,5,9,2025
"2025/1/20","Seoul","Inland",107,79,25,48,4,10,2025
"2025/1/21","Seoul","Inland",152,93,9,61,4,13,2025
"2025/1/22","Seoul","Inland",183,74,20,46,5,10,2025
"2025/1/23","Seoul","Inland",164,53,21,42,5,8,2025
"2025/1/24","Seoul","Inland",118,49,17,46,5,8,2025
"2025/1/25","Seoul","Inland",95,22,32,26,4,5,2025
"2025/1/26","Seoul","Inland",46,12,32,15,3,3,2025
"2025/1/27","Seoul","Inland",25,41,29,11,3,4,2025
"2025/1/28","Seoul","Inland",63,30,32,8,3,4,2025
"2025/1/29","Seoul","Inland",74,30,30,8,3,4,2025
"2025/1/30","Seoul","Inland",70,22,31,17,4,4,2025
"2025/1/31","Seoul","Inland",53,37,9,39,3,7,2025
"2025/2/1","Seoul","Inland",87,47,23,39,3,8,2025
"2025/2/2","Seoul","Inland",118,44,28,29,4,7,2025
"2025/2/3","Seoul","Inland",98,33,33,10,4,5,2025
"2025/2/4","Seoul","Inland",65,23,28,9,3,4,2025
"2025/2/5","Seoul","Inland",42,18,31,9,3,4,2025
"2025/2/6","Seoul","Inland",30,23,27,24,5,6,2025
"2025/2/7","Seoul","Inland",50,33,31,12,4,4,2025
"2025/2/8","Seoul","Inland",52,27,29,12,3,4,2025
"2025/2/9","Seoul","Inland",44,28,29,20,4,5,2025
"2025/2/10","Seoul","Inland",57,29,25,29,4,6,2025
"2025/2/11","Seoul","Inland",71,48,20,48,4,8,2025
"2025/2/12","Seoul","Inland",109,46,30,42,4,7,2025
"2025/2/13","Seoul","Inland",104,29,23,26,4,4,2025
"2025/2/14","Seoul","Inland",37,56,27,41,5,7,2025
"2025/2/15","Seoul","Inland",98,61,29,39,4,8,2025
"2025/2/16","Seoul","Inland",135,63,41,30,4,8,2025
"2025/2/17","Seoul","Inland",139,40,30,12,4,3,2025
"2025/2/18","Seoul","Inland",39,29,29,12,4,4,2025
"2025/2/19","Seoul","Inland",40,28,29,13,4,4,2025
"2025/2/20","Seoul","Inland",45,29,30,17,4,4,2025
"2025/2/21","Seoul","Inland",50,32,29,16,4,5,2025
"2025/2/22","Seoul","Inland",58,32,33,13,4,4,2025
"2025/2/23","Seoul","Inland",68,36,34,10,4,3,2025
"2025/2/24","Seoul","Inland",67,34,31,21,4,4,2025
"2025/2/25","Seoul","Inland",66,33,34,31,4,5,2025
"2025/2/26","Seoul","Inland",38,63,35,24,4,5,2025
"2025/2/27","Seoul","Inland",85,43,29,46,5,6,2025
"2025/2/28","Seoul","Inland",57,53,15,61,5,8,2025
"2025/3/1","Seoul","Inland",102,60,22,43,4,7,2025
"2025/3/2","Seoul","Inland",144,44,42,27,4,6,2025
"2025/3/3","Seoul","Inland",101,13,38,7,3,2,2025
"2025/3/4","Seoul","Inland",18,10,38,11,3,4,2025
"2025/3/5","Seoul","Inland",15,8,34,13,3,3,2025
"2025/3/6","Seoul","Inland",14,47,41,23,4,6,2025
"2025/3/7","Seoul","Inland",94,65,38,37,5,8,2025
"2025/3/8","Seoul","Inland",148,56,40,30,5,6,2025
"2025/3/9","Seoul","Inland",122,56,42,26,4,6,2025
"2025/3/10","Seoul","Inland",127,67,52,33,4,7,2025
"2025/3/11","Seoul","Inland",154,59,40,33,4,6,2025
"2025/3/12","Seoul","Inland",129,45,33,35,4,5,2025
"2025/3/13","Seoul","Inland",85,76,31,26,4,6,2025
"2025/3/14","Seoul","Inland",104,61,39,31,4,6,2025
"2025/3/15","Seoul","Inland",80,34,36,13,3,3,2025
"2025/3/16","Seoul","Inland",49,31,35,9,2,3,2025
"2025/3/17","Seoul","Inland",68,31,35,12,2,3,2025
"2025/3/18","Seoul","Inland",71,25,37,13,2,3,2025
"2025/3/19","Seoul","Inland",70,45,41,17,3,4,2025
"2025/3/20","Seoul","Inland",100,54,59,22,4,5,2025
"2025/3/21","Seoul","Inland",116,69,60,19,4,5,2025
"2025/3/22","Seoul","Inland",143,70,54,28,6,7,2025
"2025/3/23","Seoul","Inland",141,72,66,24,5,7,2025
"2025/3/24","Seoul","Inland",148,78,58,23,6,7,2025
"2025/3/25","Seoul","Inland",145,108,55,19,4,7,2025
"2025/3/26","Seoul","Inland",149,90,35,35,4,6,2025
"2025/3/27","Seoul","Inland",80,59,45,17,4,5,2025
"2025/3/28","Seoul","Inland",88,45,37,11,4,4,2025
"2025/3/29","Seoul","Inland",70,27,38,11,4,3,2025
"2025/3/30","Seoul","Inland",38,27,40,10,4,3,2025
"2025/3/31","Seoul","Inland",38,38,41,23,4,4,2025
"2025/4/1","Seoul","Inland",66,61,54,29,4,6,2025
"2024/10/2","Seoul","Inland",30,16,32,9,3,3,2024
"2024/10/3","Seoul","Inland",26,17,32,13,3,3,2024
"2024/10/4","Seoul","Inland",30,17,34,16,3,3,2024
"2024/10/5","Seoul","Inland",33,26,43,21,4,4,2024
"2024/10/6","Seoul","Inland",56,24,15,22,4,5,2024
"2024/10/7","Seoul","Inland",58,41,39,21,4,6,2024
"2024/10/8","Seoul","Inland",85,40,32,19,4,6,2024
"2024/10/9","Seoul","Inland",79,13,37,12,3,3,2024
"2024/10/10","Seoul","Inland",28,22,33,16,3,4,2024
"2024/10/11","Seoul","Inland",50,36,57,21,3,5,2024
"2024/10/12","Seoul","Inland",82,45,43,25,3,6,2024
"2024/10/13","Seoul","Inland",94,30,36,17,3,5,2024
"2024/10/14","Seoul","Inland",64,22,18,23,3,4,2024
"2024/10/15","Seoul","Inland",51,23,19,24,3,5,2024
"2024/10/16","Seoul","Inland",55,42,36,26,3,6,2024
"2024/10/17","Seoul","Inland",86,38,36,27,4,6,2024
"2024/10/18","Seoul","Inland",80,25,12,21,3,5,2024
"2024/10/19","Seoul","Inland",56,8,32,8,3,3,2024
"2024/10/20","Seoul","Inland",15,13,31,5,3,2,2024
"2024/10/21","Seoul","Inland",14,18,22,18,3,3,2024
"2024/10/22","Seoul","Inland",24,13,23,24,3,5,2024
"2024/10/23","Seoul","Inland",27,15,29,10,3,4,2024
"2024/10/24","Seoul","Inland",26,31,34,21,3,5,2024
"2024/10/25","Seoul","Inland",69,27,17,27,3,6,2024
"2024/10/26","Seoul","Inland",58,23,27,24,4,6,2024
"2024/10/27","Seoul","Inland",49,29,32,16,4,5,2024
"2024/10/28","Seoul","Inland",51,35,29,17,4,6,2024
"2024/10/29","Seoul","Inland",66,14,29,18,3,3,2024
"2024/10/30","Seoul","Inland",29,30,37,24,3,5,2024
"2024/10/31","Seoul","Inland",66,35,30,32,4,6,2024
"2024/11/1","Seoul","Inland",80,40,17,41,5,7,2024
"2024/11/2","Seoul","Inland",83,34,35,21,4,5,2024
"2024/11/3","Seoul","Inland",78,28,40,12,4,4,2024
"2024/11/4","Seoul","Inland",66,30,36,12,4,3,2024
"2024/11/5","Seoul","Inland",59,25,23,12,4,3,2024
"2024/11/6","Seoul","Inland",37,22,27,12,4,5,2024
"2024/11/7","Seoul","Inland",36,39,21,26,5,7,2024
"2024/11/8","Seoul","Inland",70,30,26,31,4,5,2024
"2024/11/9","Seoul","Inland",66,31,26,33,4,6,2024
"2024/11/10","Seoul","Inland",65,24,29,27,4,6,2024
"2024/11/11","Seoul","Inland",56,52,27,33,5,7,2024
"2024/11/12","Seoul","Inland",100,43,33,22,4,6,2024
"2024/11/13","Seoul","Inland",95,44,28,35,5,7,2024
"2024/11/14","Seoul","Inland",86,39,16,35,5,6,2024
"2024/11/15","Seoul","Inland",74,31,25,28,4,6,2024
"2024/11/16","Seoul","Inland",73,24,30,19,4,5,2024
"2024/11/17","Seoul","Inland",64,22,27,6,4,3,2024
"2024/11/18","Seoul","Inland",43,19,25,10,4,3,2024
"2024/11/19","Seoul","Inland",29,27,14,30,4,4,2024
"2024/11/20","Seoul","Inland",52,43,3,44,4,7,2024
"2024/11/21","Seoul","Inland",87,56,27,34,5,8,2024
"2024/11/22","Seoul","Inland",122,38,27,15,4,5,2024
"2024/11/23","Seoul","Inland",80,25,26,26,4,5,2024
"2024/11/24","Seoul","Inland",58,18,23,25,4,5,2024
"2024/11/25","Seoul","Inland",46,26,25,29,4,5,2024
"2024/11/26","Seoul","Inland",60,12,25,13,4,4,2024
"2024/11/27","Seoul","Inland",22,11,22,15,3,4,2024
"2024/11/28","Seoul","Inland",28,19,22,18,3,5,2024
"2024/11/29","Seoul","Inland",56,34,16,29,4,6,2024
"2024/11/30","Seoul","Inland",74,29,11,35,4,7,2024
"2024/12/1","Seoul","Inland",70,37,12,29,4,8,2024
"2024/12/2","Seoul","Inland",89,47,25,32,5,8,2024
"2024/12/3","Seoul","Inland",101,19,24,17,4,4,2024
"2024/12/4","Seoul","Inland",30,25,22,21,4,4,2024
"2024/12/5","Seoul","Inland",49,24,22,23,4,5,2024
"2024/12/6","Seoul","Inland",46,30,25,14,4,4,2024
"2024/12/7","Seoul","Inland",41,26,28,15,4,5,2024
"2024/12/8","Seoul","Inland",55,25,25,11,4,4,2024
"2024/12/9","Seoul","Inland",55,37,12,34,4,6,2024
"2024/12/10","Seoul","Inland",68,46,19,37,5,8,2024
"2024/12/11","Seoul","Inland",96,60,15,32,6,9,2024
"2024/12/12","Seoul","Inland",126,46,16,27,5,7,2024
"2024/12/13","Seoul","Inland",83,31,24,22,5,5,2024
"2024/12/14","Seoul","Inland",64,32,23,18,4,5,2024
