"city","mean_pm25","mean_pm10","mean_o3","mean_no2","mean_so2","mean_co"
"Busan",82.6139566959723,43.7095566046613,43.625200651213,31.5724849099054,9.1342198405987,5.2065318331363
"Daegu",80.6320943256407,42.4657812930165,41.7274689262048,27.2346949042418,5.59184263946967,6.16148766717687
"Incheon",88.9950425654013,48.6868472110028,40.4716982943672,37.0488205145919,10.4146923054048,7.68814800805989
"Seoul",76.4087273376123,40.5436507152347,30.7185459546829,28.7213689733008,5.21712607325769,5.47243275240501
