"city","year","pollutant","category","days"
"Seoul",2023,"pm10","Unhealthy for Sensitive Groups",2
"Seoul",2023,"pm10","Unhealthy",1
"Seoul",2023,"pm25","Good",97
"Seoul",2023,"pm25","Moderate",195
"Seoul",2023,"pm25","Unhealthy for Sensitive Groups",63
"Seoul",2023,"pm25","Unhealthy",10
"Seoul",2023,"so2","Good",365
"Seoul",2024,"co","Good",364
"Seoul",2024,"no2","Good",362
"Seoul",2024,"no2","Moderate",2
"Seoul",2024,"o3","Good",289
"Seoul",2024,"o3","Moderate",71
"Seoul",2024,"o3","Unhealthy for Sensitive Groups",4
"Seoul",2024,"pm10","Good",312
"Seoul",2024,"pm10","Moderate",50
"Seoul",2024,"pm10","Unhealthy for Sensitive Groups",1
"Seoul",2024,"pm10","Unhealthy",1
"Seoul",2024,"pm25","Good",116
"Seoul",2024,"pm25","Moderate",203
"Seoul",2024,"pm25","Unhealthy for Sensitive Groups",43
"Seoul",2024,"pm25","Unhealthy",3
"Seoul",2024,"so2","Good",364
"Seoul",2025,"co","Good",362
"Seoul",2025,"no2","Good",359
"Seoul",2025,"no2","Moderate",3
"Seoul",2025,"o3","Good",289
"Seoul",2025,"o3","Moderate",65
"Seoul",2025,"o3","Unhealthy for Sensitive Groups",8
"Seoul",2025,"pm10","Good",308
"Seoul",2025,"pm10","Moderate",53
"Seoul",2025,"pm10","Unhealthy for Sensitive Groups",1
"Seoul",2025,"pm25","Good",155
"Seoul",2025,"pm25","Moderate",156
"Seoul",2025,"pm25","Unhealthy for Sensitive Groups",46
"Seoul",2025,"pm25","Unhealthy",5
"Seoul",2025,"so2","Good",362
