"city","city_type","year","mean_pm25","mean_pm10","mean_o3","mean_no2","mean_so2","mean_co","n_days"
"Busan","Coastal",2014,NA,60.2762430939227,43.9060773480663,39.1436464088398,17.085635359116,9.0110497237569,363
"Busan","Coastal",2015,106.797222222222,53.7083333333333,44.683615819209,39.3694444444444,16.9666666666667,7.53333333333333,362
"Busan","Coastal",2016,105.400552486188,51.4793388429752,44.0110192837465,40.7548209366391,14.1487603305785,6.50413223140496,363
"Busan","Coastal",2017,101.14950166113,53.5880398671096,47.3189368770764,41.7707641196013,12.6312292358804,5.71760797342193,306
"Busan","Coastal",2018,93.2176308539945,49.0828729281768,42.1657458563536,35.7872928176795,12.2624309392265,5.45027624309392,364
"Busan","Coastal",2019,87.2216066481994,42.9138888888889,41.9972222222222,33.675,9.64542936288089,4.48476454293629,364
"Busan","Coastal",2020,74.4986225895317,38.2142857142857,40.5521978021978,26.7115384615385,5.3434065934066,4.18406593406593,365
"Busan","Coastal",2021,69.8821917808219,38.4904109589041,42.627397260274,25.5945205479452,4.20547945205479,3.46849315068493,365
"Busan","Coastal",2022,67.8438356164384,34.7013698630137,43.6767123287671,24.9095890410959,4.37808219178082,3.11780821917808,365
"Busan","Coastal",2023,69.1972602739726,37.1150684931507,43.6767123287671,25.0465753424658,3.82465753424657,3.8986301369863,365
"Busan","Coastal",2024,63.2246575342466,31.9862637362638,42.9945054945055,24.2005494505494,4.48626373626374,4.41208791208791,365
"Busan","Coastal",2025,70.3204419889503,32.9585635359116,45.8922651933702,21.9060773480663,4.63259668508287,4.69613259668508,363
"Daegu","Inland",2014,NA,54.0165745856354,40.7845303867403,39.7817679558011,10.1685082872928,7.83977900552486,363
"Daegu","Inland",2015,97.8111111111111,53.975,41.2146892655368,39.1694444444444,9.65277777777778,7.78055555555555,362
"Daegu","Inland",2016,100.193370165746,53.7134986225895,39.9669421487603,34.7052341597796,8.82644628099173,6.77134986225895,363
"Daegu","Inland",2017,98.3255813953488,51.3986710963455,42.5448504983389,32.4019933554817,7.84666666666667,6.7109634551495,306
"Daegu","Inland",2018,89.4793388429752,45.5911602209945,40.3397790055249,27.0110497237569,6.01657458563536,6.18232044198895,364
"Daegu","Inland",2019,87.1385041551247,43.2361111111111,43.1444444444445,25.6666666666667,5.20498614958449,6.06648199445983,364
"Daegu","Inland",2020,78.5674931129477,37.8708791208791,38.7115384615384,24.7197802197802,4.00274725274725,5.55494505494506,365
"Daegu","Inland",2021,71.6849315068493,37.7041095890411,40.3835616438356,23.5945205479452,3.01917808219178,4.99178082191781,365
"Daegu","Inland",2022,68.5753424657534,34.5479452054795,41.1671232876712,21.3260273972603,2.44931506849315,4.43287671232877,365
"Daegu","Inland",2023,69.6849315068493,36.7205479452055,41.3369863013699,21.0684931506849,2.66301369863014,4.84657534246575,365
"Daegu","Inland",2024,61.2027397260274,30.4917582417582,45.293956043956,18.7362637362637,3.51373626373626,5.81593406593406,365
"Daegu","Inland",2025,64.2896935933148,30.3231197771588,45.841225626741,18.6350974930362,3.73816155988858,6.94428969359332,361
"Incheon","Coastal",2014,NA,57.292817679558,37.1685082872928,49.3314917127072,18.6961325966851,8.75690607734807,363
"Incheon","Coastal",2015,104.377777777778,59.1305555555556,41.545197740113,45.0555555555556,17.4083333333333,10.5027777777778,362
"Incheon","Coastal",2016,103.961325966851,58.4187327823691,40.6804407713499,43.3223140495868,16.0798898071625,10.7355371900826,363
"Incheon","Coastal",2017,99.2126245847176,55.24,37.2624584717608,43.9401993355482,15.2259136212625,9.65448504983389,306
"Incheon","Coastal",2018,91.7685950413224,49.9198895027624,39.3591160220995,44.8563535911602,14.060773480663,9.61602209944751,364
"Incheon","Coastal",2019,88.8947368421053,50.9916666666667,39.1583333333334,39.7444444444445,10.6232686980609,7.60941828254848,364
"Incheon","Coastal",2020,75.595041322314,40.1043956043956,36.4148351648352,32.8653846153846,6.18406593406594,6.34065934065934,365
"Incheon","Coastal",2021,83.6931506849315,45.0383561643836,42.2794520547945,34.586301369863,5.35616438356164,6.25479452054795,365
"Incheon","Coastal",2022,79.3068493150685,39.641095890411,40.827397260274,30.827397260274,5.2,5.66027397260274,365
"Incheon","Coastal",2023,87.4821917808219,45.627397260274,43.2465753424657,29.4246575342466,5.06575342465753,5.53150684931507,365
"Incheon","Coastal",2024,84.1835616438356,43.456043956044,44.0302197802198,26.6538461538462,5.74175824175824,5.73351648351648,365
"Incheon","Coastal",2025,80.4696132596685,39.3812154696133,43.6878453038674,23.9779005524862,5.33425414364641,5.86187845303868,363
